# CIG: AMIGA/CIG galaxy identifier,logd25: logarithm of the optical D25 diameter,E_logd25: uncertainty on logd25,PHYS_DISTANCE_decimal: uncertainty/decimal companion field from RESULTS_OPT
CIG,logd25,E_logd25,PHYS_DISTANCE_decimal
621,1.310,0.034,11.375
622,1.090,0.038,54.943
623,0.876,0.058,68.965
624,1.630,0.026,7.000
625,1.437,0.026,59.356
626,1.496,0.021,17.847
627,1.210,0.038,12.700
628,0.811,0.059,141.552
629,0.812,0.058,
630,1.126,0.045,50.889
631,1.037,0.034,30.343
632,0.753,0.066,313.788
633,0.695,0.191,55.139
634,1.471,0.032,25.855
635,0.984,0.049,65.880
636,0.769,0.067,150.062
637,1.382,0.070,28.225
638,1.505,0.023,19.733
639,0.743,0.069,112.046
640,0.647,0.162,117.189
641,0.965,0.044,90.320
642,0.890,0.056,18.300
643,1.003,0.046,164.601
644,0.964,0.106,107.423
645,1.178,0.054,53.443
646,0.853,0.122,89.047
647,0.862,0.056,207.192
648,0.752,0.069,137.063
649,0.799,0.163,73.766
650,0.786,0.067,138.524
651,0.910,0.049,31.125
652,1.106,0.049,22.524
653,1.140,0.042,64.393
654,0.882,0.054,119.215
655,1.210,0.031,74.572
656,1.270,0.036,8.900
657,0.854,0.091,7.830
658,0.818,0.061,139.281
659,0.932,0.051,118.578
660,1.013,0.047,30.326
661,1.062,0.042,45.669
662,0.897,0.054,16.470
663,0.760,0.067,0.100
664,0.760,0.072,
665,0.925,0.059,83.284
666,1.102,0.041,46.215
667,0.960,0.107,115.525
668,1.337,0.027,68.607
669,1.268,0.034,23.578
670,1.020,0.048,167.662
671,0.871,0.062,116.980
672,1.195,0.028,89.720
673,0.632,0.177,
674,1.016,0.040,114.344
675,0.772,0.062,131.594
676,1.308,0.035,78.182
677,0.788,0.065,106.270
678,0.798,0.146,52.952
679,0.699,0.185,75.665
680,0.907,0.046,130.482
681,0.863,0.056,171.594
682,1.265,0.032,11.200
683,0.840,0.059,148.632
684,1.067,0.076,73.692
685,0.816,0.077,205.783
686,0.994,0.044,10.500
687,0.638,0.093,
688,0.739,0.070,126.642
689,0.929,0.050,55.413
690,0.924,0.129,105.065
691,1.534,0.035,16.911
692,1.146,0.039,99.832
693,0.659,0.076,133.157
694,1.170,0.036,138.704
