galaxy,group,phase,hi_diameter_kpc,hi_diameter_err_kpc,hi_mass,hi_mass_err,optical_diameter_kpc,optical_diameter_err_kpc,log_stellar_mass,distance_mpc,linear_resolution_kpc,coldens_limit,fractional_mass_error,is_upper_limit
HCG30c,HCG30,3a,16.54954584998538,,,,10.58195409434661,,,59,,,,1
HCG30d,HCG30,3a,17.110547404222167,,,,9.978004524953494,,,61,,,,1
HCG37a,HCG37,3a,23.298675111531388,,,,56.297044511280326,,,97,,,,1
HCG37b,HCG37,3a,23.298675111531388,,,,40.7836034899138,,,97,,,,1
HCG37c,HCG37,3a,25.940792907684433,,,,13.713162330458106,,,108,,,,1
HCG37d,HCG37,3a,21.377134896147357,,,,9.842464752553509,,,89,,,,1
HCG37e,HCG37,3a,21.857519949993367,,,,9.610705156008965,,,91,,,,1
HCG62a,HCG62,3a,7.466087428529704,,,,48.5406459135082,,,62,,,,1
HCG62b,HCG62,3a,6.382300543743135,,,,30.06005225041388,,,53,,,,1
HCG62c,HCG62,3a,7.466087428529704,,,,27.932226242774274,,,62,,,,1
HCG62d,HCG62,3a,7.104825133600848,,,,7.844510943115317,,,59,,,,1
HCG92b,HCG92,3a,5.3085600000004245,,,,50.937393922360414,,,73,,,,1
HCG92c,HCG92,3a,6.5448000000005235,,,,43.44665756718939,,,90,,,,1
HCG92d,HCG92,3a,6.326640000000506,,,,37.43114517168203,,,87,,,,1
HCG92e,HCG92,3a,6.326640000000506,,,,20.10171513174412,,,87,,,,1
HCG97a,HCG97,3c,27.88221807382017,,,,41.95224959590107,,,91,,,,1
HCG97b,HCG97,3c,28.18861607463138,,,,32.92317336495932,,,92,,,,1
HCG97c,HCG97,3c,23.286248061652007,,,,21.603665975203594,,,76,,,,1
HCG97d,HCG97,3c,24.51184006489685,,,,39.51880909024578,,,80,,,,1
HCG97e,HCG97,3c,26.043830068952904,,,,11.044162479214135,,,85,,,,1
HCG7b,HCG7,1,8.483999999999806,,,,18.309811189134372,,,50,,,,1
HCG10b,HCG10,1,15.52136229730854,,,,33.86235864891146,,,52,,,,1
HCG10c,HCG10,1,14.625899087848433,,,,25.34602982481397,,,49,,,,1
HCG19a,HCG19,1,10.534704000001028,,,,18.534877973300198,,,53,,,,1
HCG23c,HCG23,1,8.227854986418274,,,,17.36955388325104,,,67,,,,1
HCG25d,HCG25,1,26.29721878231322,,,,9.835398342235806,,,83,,,,1
HCG25f,HCG25,1,25.66355085984784,,,,10.05075948474959,,,81,,,,1
HCG26b,HCG26,1,15.094892366272894,,,,27.54696087676437,,,122,,,,1
HCG26c,HCG26,1,16.084721373897345,,,,14.711508730871723,,,130,,,,1
HCG26d,HCG26,1,14.599977862460667,,,,22.67753619846104,,,118,,,,1
HCG26f,HCG26,1,16.208449999850405,,,,8.33652692538524,,,131,,,,1
HCG26g,HCG26,1,14.971163740319836,,,,8.250860261383133,,,121,,,,1
HCG40a,HCG40,2,28.215444673957936,,,,37.96199749101749,,,99,,,,1
HCG40b,HCG40,2,29.07045814892636,,,,26.443201434203075,,,102,,,,1
HCG40e,HCG40,2,28.215444673957936,,,,19.46924257231995,,,99,,,,1
