cig,PHOT_EXTINCTION_INT,PHOT_EXTINCTION_INT_decimal,PHOT_K_CORRECTION,PHOT_K_CORRECTION_decimal,BTC,BTC_decimal,PHYS_DISTANCE,PHYS_DISTANCE_decimal,PHYS_LUMINOSITY_B,PHYS_LUMINOSITY_B_decimal,POS_INCLIN_LOS,POS_INCLIN_LOS_decimal,ANG_SIZE_MAJ,ANG_SIZE_MAJ_decimal,ANG_SIZE_MIN,ANG_SIZE_MIN_decimal,PHYS_SIZE_MAJ,PHYS_SIZE_MAJ_decimal,PHYS_SIZE_MIN,PHYS_SIZE_MIN_decimal
198,263,0.2626,63,0.0626,14.816,14.8158,128.6,128.638,10.24,10.2424,48.1,48.134,0.79,791,0.54,545,29.6,29.587,20.4,20.375
199,786,0.7862,18,0.0175,14.049,14.0493,51.6,51.634,9.76,9.7561,71.9,71.904,0.69,692,0.24,245,10.4,10.391,3.7,3.678
200,146,0.1464,51,0.0509,14.708,14.7077,91.8,91.832,9.99,9.9929,38.6,38.588,1.32,1.324,1.06,1.057,35.4,35.377,28.2,28.231
201,1.178,1.1778,18,0.0183,13.116,13.1159,55.6,55.625,10.19,10.1942,84.1,84.121,1.94,1.941,0.40,398,31.4,31.405,6.4,6.442
202,600,0.5997,25,0.0252,13.235,13.2351,53.4,53.395,10.11,10.1110,69.1,69.069,1.96,1.959,0.81,815,30.4,30.425,12.7,12.654
203,333,0.3332,44,0.0440,15.717,15.7168,106.3,106.274,9.72,9.7161,51.8,51.813,0.41,415,0.26,265,12.8,12.828,8.2,8.188
204,755,0.7555,62,0.0620,13.857,13.8565,127.3,127.305,10.62,10.6171,76.2,76.234,1.44,1.442,0.47,469,53.4,53.404,17.4,17.361
205,333,0.3328,31,0.0308,14.863,14.8634,90.0,90.000,9.91,9.9131,50.7,50.673,0.76,762,0.49,494,20.0,19.951,12.9,12.941
206,0,0.0000,95,0.0945,15.384,15.3845,85.7,85.665,9.66,9.6618,60.8,60.769,0.79,785,0.53,531,19.6,19.567,13.2,13.229
207,129,0.1293,27,0.0270,15.980,15.9797,64.2,64.224,9.17,9.1735,33.5,33.489,0.42,418,0.35,352,7.8,7.806,6.6,6.568
208,1.011,1.0111,12,0.0117,13.620,13.6203,26.9,26.914,9.36,9.3619,82.2,82.214,1.78,1.782,0.43,431,14.0,13.954,3.4,3.371
209,0,0.0000,60,0.0602,14.705,14.7048,54.9,54.944,9.55,9.5479,50.9,50.939,0.92,920,0.70,695,14.7,14.711,11.1,11.108
